epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
49,30968.5,2.01483,2.34885,0.01028,0.30025,0.25801,0.17445,0.06363,1.90251,2.65256,0.01142,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
50,31595.3,2.01375,2.33726,0.01019,0.29876,0.25862,0.17437,0.06366,1.90231,2.65561,0.01142,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672
51,32219.8,2.00456,2.32239,0.01011,0.29534,0.25949,0.17402,0.06356,1.90194,2.65949,0.01142,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
52,32847.9,2.0031,2.31233,0.01012,0.29676,0.25844,0.1742,0.06354,1.90151,2.66328,0.01141,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763
53,33471.7,1.9999,2.29725,0.01004,0.29698,0.25694,0.17417,0.06363,1.9006,2.66783,0.0114,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
54,34099,1.98857,2.2812,0.01008,0.30034,0.2569,0.17425,0.06363,1.90107,2.67093,0.01141,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132
55,34728.3,1.9884,2.26626,0.01006,0.30015,0.25566,0.17393,0.06358,1.90168,2.67533,0.01141,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
56,35348.6,1.98054,2.25469,0.01001,0.29668,0.25663,0.17402,0.06361,1.90163,2.68089,0.01141,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993
57,35967.1,1.97987,2.2434,0.01,0.29662,0.25347,0.17346,0.06342,1.90176,2.68686,0.01142,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
58,36583.8,1.97361,2.22025,0.00992,0.29042,0.2537,0.17328,0.06331,1.90133,2.69331,0.01141,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548
