epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,30373.8,2.01227,4.81752,0.00795,0.43713,0.10411,0.06028,0.02178,1.8938,5.60911,0.00886,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637,0.0111191,0.00370637
49,30991,2.00627,4.77509,0.0079,0.43694,0.10393,0.06002,0.02173,1.89436,5.61579,0.00887,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
50,31608,2.00407,4.73629,0.00789,0.43595,0.1033,0.05988,0.0217,1.89462,5.62454,0.00887,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672,0.0100102,0.00333672
51,32223.6,1.99789,4.69738,0.00786,0.44422,0.10251,0.05999,0.02174,1.89434,5.63467,0.00887,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
52,32840,1.99139,4.68899,0.00785,0.44674,0.1004,0.05993,0.02174,1.89466,5.64754,0.00887,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763,0.0089329,0.00297763
53,33459.9,1.98512,4.64862,0.00779,0.45308,0.0997,0.06003,0.02174,1.89546,5.65798,0.00888,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
54,34078.1,1.9868,4.59509,0.00777,0.45408,0.10076,0.06006,0.02169,1.89627,5.66976,0.00889,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132,0.00789397,0.00263132
55,34691.1,1.97296,4.56141,0.00776,0.45252,0.1003,0.0599,0.02153,1.89659,5.68389,0.0089,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
56,35311.5,1.97118,4.53712,0.00771,0.45145,0.09969,0.05953,0.0214,1.897,5.69978,0.0089,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993,0.00689978,0.00229993
57,35963.9,1.9677,4.50984,0.00778,0.44617,0.09859,0.05923,0.02137,1.89757,5.71558,0.00891,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
58,36602.5,1.9674,4.46212,0.00771,0.4431,0.09587,0.05898,0.0213,1.89782,5.73367,0.00891,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548,0.00595645,0.00198548
59,37217.8,1.96219,4.42013,0.0077,0.44071,0.09585,0.0584,0.02114,1.89888,5.75094,0.00892,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
60,37857.8,1.95547,4.38899,0.00762,0.41216,0.09609,0.05811,0.02103,1.89945,5.76949,0.00892,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994,0.00506981,0.00168994
61,38514.5,1.95671,4.33436,0.0076,0.40849,0.09524,0.05803,0.02094,1.90027,5.78894,0.00893,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
62,39135.3,1.94648,4.30082,0.00755,0.40539,0.09481,0.05768,0.02084,1.90094,5.80923,0.00894,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151,0.00424531,0.0014151
63,39753.3,1.93824,4.27611,0.00757,0.40471,0.09331,0.05757,0.02073,1.90198,5.8311,0.00895,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599,0.00385797,0.00128599
64,40372.9,1.93731,4.22219,0.00754,0.40061,0.09337,0.05725,0.02071,1.9033,5.85308,0.00896,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268,0.00348804,0.00116268
65,41056.1,1.93226,4.19741,0.0075,0.37027,0.09315,0.05721,0.02076,1.90453,5.876,0.00897,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
66,41688.6,1.93052,4.1627,0.0075,0.33992,0.09252,0.05695,0.02064,1.90581,5.90089,0.00899,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225,0.00280268,0.000934225
67,42303.2,1.93097,4.13478,0.00747,0.33752,0.09378,0.05673,0.02055,1.90771,5.92606,0.00901,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431,0.00248829,0.000829431
68,42921.4,1.92425,4.10954,0.00751,0.33533,0.09351,0.05653,0.02038,1.90901,5.94872,0.00901,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145,0.00219343,0.000731145
69,43539,1.92293,4.07427,0.00746,0.33611,0.09361,0.05616,0.02021,1.91035,5.97594,0.00902,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
70,44153.2,1.91549,4.04589,0.0074,0.33726,0.09323,0.05598,0.02008,1.91142,6.00104,0.00903,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691,0.00166407,0.000554691
71,44765.8,1.89683,4.02602,0.00851,0.33744,0.09175,0.05569,0.01991,1.91355,6.02607,0.00905,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796,0.00143039,0.000476796
72,45370.2,1.8855,3.96296,0.00839,0.33869,0.09133,0.0555,0.01974,1.91521,6.0505,0.00906,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953,0.00121786,0.000405953
73,45972,1.88173,3.93408,0.00837,0.33713,0.09177,0.05491,0.01956,1.9173,6.07575,0.00908,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
74,46572.3,1.8809,3.91307,0.00841,0.33752,0.09277,0.05447,0.01943,1.91956,6.10114,0.00909,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847,0.00085754,0.000285847
75,47174.8,1.87886,3.87429,0.00835,0.33443,0.09327,0.05414,0.01931,1.92259,6.1268,0.00912,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769,0.000710307,0.000236769
76,47777,1.87778,3.84782,0.00833,0.30544,0.09207,0.05411,0.01918,1.9253,6.14869,0.00914,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113,0.000585339,0.000195113
77,48376.3,1.87632,3.83675,0.00832,0.30699,0.08948,0.05361,0.01906,1.92882,6.17314,0.00917,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
78,48978.3,1.87759,3.82558,0.00831,0.30618,0.09081,0.05316,0.01884,1.93251,6.19472,0.00919,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311,0.000402933,0.000134311
79,49595.2,1.87182,3.81707,0.00833,0.30578,0.091,0.05309,0.01874,1.93772,6.2115,0.00923,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259,0.000345778,0.000115259
80,50206,1.87234,3.80748,0.00831,0.30576,0.09121,0.05303,0.01863,1.94166,6.22752,0.00926,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816,0.000311449,0.000103816
